Store_Name,Broad_Category,Fine_Category
Amazon Pop-Up,Retail,Misc.
Bespoke Events,Retail,Misc.
Bespoke Coworking,Retail,Specialty Store
Dyson,Retail,Misc.
Penhaligons,Retail,Misc.
SF Sports,Retail,Apparel And Accessories
Claire's Boutique,Retail,Apparel And Accessories
Go! Toys and Games,Retail,Toy Stores
Nordstrom,Retail,Department Stores
Bloomingdale's,Retail,Department Stores
Victoria's Secret,Retail,Apparel And Accessories
Adidas,Retail,Apparel And Accessories
Finish Line,Retail,Apparel And Accessories
Zara,Retail,Apparel And Accessories
H&M,Retail,Apparel And Accessories
H&M Man,Retail,Apparel And Accessories
Bristol Farms,Dining,Casual Restaurants
Superdry ,Retail,Apparel And Accessories
Sunglass Hut ,Retail,Apparel And Accessories
Express,Retail,Apparel And Accessories
Michael Kors Men,Retail,Apparel And Accessories
Solstice,Retail,Apparel And Accessories
Abercrombie & Fitch,Retail,Apparel And Accessories
Karen Millen,Retail,Apparel And Accessories
RED Valentino,Retail,Apparel And Accessories
Brighton Collectibles,Retail,Apparel And Accessories
Club Monaco Men,Retail,Apparel And Accessories
J.Crew,Retail,Apparel And Accessories
Max & Co.,Retail,Apparel And Accessories
Timberland,Retail,Apparel And Accessories
Sunglass Hut,Retail,Apparel And Accessories
BCBGMAXAZRIA,Retail,Apparel And Accessories
Coach,Retail,Apparel And Accessories
Madewell,Retail,Apparel And Accessories
bebe,Retail,Apparel And Accessories
Kate Spade New York,Retail,Apparel And Accessories
BOSS,Retail,Apparel And Accessories
Hollister Co.,Retail,Apparel And Accessories
Club Monaco Women,Retail,Apparel And Accessories
Michael Kors,Retail,Apparel And Accessories
American Eagle Outfitters,Retail,Apparel And Accessories
True Religion Jeans,Retail,Apparel And Accessories
Banana Republic,Retail,Apparel And Accessories
OAK+FORT,Retail,Apparel And Accessories
Lucky Brand Jeans,Retail,Apparel And Accessories
Burberry,Retail,Apparel And Accessories
Janie And Jack,Retail,Apparel And Accessories
GUESS ,Retail,Apparel And Accessories
Aritzia,Retail,Apparel And Accessories
NYS Collection,Retail,Apparel And Accessories
Eddie Bauer,Retail,Apparel And Accessories
PacSun,Retail,Apparel And Accessories
Vera Bradley,Retail,Apparel And Accessories
Fossil,Retail,Apparel And Accessories
Francesca's Collection ,Retail,Apparel And Accessories
Cotton On,Retail,Apparel And Accessories
abercrombie kids,Retail,Apparel And Accessories
Tory Burch ,Retail,Apparel And Accessories
Tiffany & Co.,Retail,Misc.
Swatch,Retail,Misc.
Pandora,Retail,Misc.
Kay Jewelers,Retail,Misc.
Tourneau,Retail,Misc.
Rolex,Retail,Misc.
T-Mobile,Retail,Cellular Phone Stores
Microsoft,Retail,Electronics Stores
Samsonite,Retail,Apparel And Accessories
Brookstone,Retail,Department Stores
LEGO,Retail,Toy Stores
Bose,Retail,Electronics Stores
Lids,Retail,Apparel And Accessories
Warriors Team Store,Retail,Sports Stores
Lady Foot Locker,Retail,Sports Stores
Hallmark,Retail,Office Supply Stores
Champs Sports,Retail,Sports Stores
Studio Manhattan,Retail,Apparel And Accessories
49ers Team Store,Retail,Sports Stores
iPlay n Talk,Retail,Electronics Stores
Papyrus,Retail,Office Supply Stores
House of Hoops by Foot Locker,Retail,Sports Stores
Razer,Retail,Specialty Store
lululemon athletica,Retail,Apparel And Accessories
New Era,Retail,Sports Stores
ProActiv Solutions ,Retail,Misc.
Tumi,Retail,Apparel And Accessories
Swarovski,Retail,Apparel And Accessories
Marbles: The Brain Store,Retail,Toy Stores
San Francisco Luggage Co.,Retail,Apparel And Accessories
ECCO,Retail,Shoe Stores
Shoe Palace ,Retail,Shoe Stores
Corner W,Retail,Shoe Stores
Camper,Retail,Shoe Stores
Aldo,Retail,Shoe Stores
The Walking Company,Retail,Shoe Stores
Vans,Retail,Shoe Stores
Clarks,Retail,Shoe Stores
Steve Madden,Retail,Shoe Stores
Beard Papa's Cream Puffs,Dining,Qsr Restaurants
Sorabol Korean BBQ & Asian Noodles,Dining,Qsr Restaurants
Godiva Chocolatier,Dining,Qsr Restaurants
Sarku Japan,Dining,Qsr Restaurants
Auntie Anne's Pretzels,Dining,Qsr Restaurants
Amoura Cafe Fresh Mediterranean,Dining,Qsr Restaurants
Yoppi Frozen Yogurt ,Dining,Qsr Restaurants
Pressed Juicery,Dining,Qsr Restaurants
Haagen Dazs,Dining,Qsr Restaurants
San Francisco Soup Company,Dining,Qsr Restaurants
Ajisen Ramen,Dining,Qsr Restaurants
Charley's Grilled Subs,Dining,Qsr Restaurants
Nordstrom E-Bar,Dining,Qsr Restaurants
DAVIDsTEA,Dining,Qsr Restaurants
Mrs. Fields,Dining,Qsr Restaurants
Coriander Gourmet Thai,Dining,Qsr Restaurants
Cafe Bellini,Dining,Qsr Restaurants
Lobster Me,Dining,Qsr Restaurants
Loving Hut Vegan Cuisine ,Dining,Qsr Restaurants
TAP 415,Dining,Qsr Restaurants
Starbucks,Dining,Qsr Restaurants
Jamba Juice,Dining,Qsr Restaurants
Buckhorn Grill,Dining,Qsr Restaurants
Caffe Central,Dining,Qsr Restaurants
Peet's Coffee & Tea,Dining,Qsr Restaurants
Wetzel's Pretzels,Dining,Qsr Restaurants
Panda Express,Dining,Qsr Restaurants
Ghirardelli Ice Cream and Chocolate Shop ,Dining,Qsr Restaurants
Pasta Moto,Dining,Qsr Restaurants
Kichi Grill,Dining,Qsr Restaurants
M.Y. China,Dining,Qsr Restaurants
Chipotle,Dining,Qsr Restaurants
Fire of Brazil,Dining,Qsr Restaurants
Teavana,Dining,Qsr Restaurants
Cako Bakery,Dining,Qsr Restaurants
Andale Mexican Restaurant,Dining,Qsr Restaurants
The Body Shop,Retail,Furniture And Decor
Amiri Salon,Retail,Furniture And Decor
L'Occitane en Provence,Retail,Furniture And Decor
Origins,Retail,Furniture And Decor
Bath & Body Works,Retail,Furniture And Decor
bareMinerals,Retail,Furniture And Decor
Aveda,Retail,Furniture And Decor
Optica,Retail,Furniture And Decor
Eyebrow Plus,Retail,Furniture And Decor
Sur La Table,Retail,Furniture And Decor
Forever Flawless ,Retail,Furniture And Decor
The Art of Shaving,Retail,Furniture And Decor
GNC,Retail,Furniture And Decor
Kiehl's,Retail,Furniture And Decor
Perfumania,Retail,Furniture And Decor
Onassis,Retail,Furniture And Decor
Forever Flawless,Retail,Furniture And Decor
Shoe Wiz,Retail,Misc.
Currency Exchange International ,Retail,Misc.
Century San Francisco Centre 9,Retail,Misc.
Burke Williams Day Spa,Retail,Misc.
